PromptId,Title,Category,PromptText,OutputFormat,ComplexityLevel,BestPractices,Owner,Tags,AITools,Version,UsageCount,Rating,RatingCount,Status
P001,Executive Summary Generator,Client Deliverables,"You are a senior management consultant at a Big Four firm. Summarize the following document into an executive summary for C-suite stakeholders. Include: key findings (3-5 bullet points), strategic recommendations, immediate next steps, and potential risks. Limit to 500 words. Use professional, authoritative tone.",Structured narrative with bullet points,Beginner,"Provide context about the audience. For board presentations, focus on strategic implications. For operational reviews, include more tactical details.",Strategy & Operations Practice,"executive summary;client deliverable;board presentation;strategy","ChatGPT;Microsoft Copilot;Google Gemini",1.2.0,1247,4.8,156,Approved
P002,Proposal Outline Builder,Client Deliverables,"Create a comprehensive proposal outline for a consulting engagement. The proposal should include: 1. Executive Summary 2. Understanding of Client Needs 3. Our Approach & Methodology 4. Project Timeline & Milestones 5. Team & Resources 6. Investment Summary 7. Why Choose Us 8. Next Steps",Structured narrative with bullet points,Intermediate,"Tailor the tone to match client culture. Include specific deliverables for each phase.",Business Development Team,"proposal;sales;client engagement;business development","ChatGPT;Microsoft Copilot",2.0.0,892,4.6,98,Approved
P003,Market Analysis Report,Client Deliverables,"Conduct a comprehensive market analysis for [INDUSTRY/MARKET]. Structure your analysis: 1. Market Overview 2. Competitive Landscape 3. Industry Trends 4. Opportunities & Threats 5. Strategic Recommendations. Use data-driven language and cite industry benchmarks where applicable.",Structured narrative with bullet points,Expert,"Request specific data sources or ranges. Validate AI outputs against recent industry reports.",Strategy Practice,"market analysis;competitive intelligence;strategy;industry research","ChatGPT;Google Gemini;Claude",1.1.0,654,4.7,73,Approved
P004,Professional Email Composer,Internal Productivity,"Draft a professional email with the following parameters: Purpose: [REQUEST/UPDATE/FOLLOW-UP/ESCALATION] Recipient: [NAME & ROLE] Tone: [FORMAL/SEMI-FORMAL/CASUAL] Key Message: [MAIN POINT] Action Required: [SPECIFIC ASK] Deadline (if any): [DATE]. The email should be concise (under 200 words), clear, and actionable. Include a compelling subject line.",Narrative,Beginner,"Always review AI-generated emails for appropriate tone. Personalize greetings based on relationship.",Corporate Communications,"email;communication;productivity;professional writing","ChatGPT;Microsoft Copilot;Google Gemini;Claude",1.0.0,2156,4.5,234,Approved
P005,Meeting Notes Summarizer,Internal Productivity,"Transform the following meeting notes/transcript into a structured summary. Required Output: 1. Key Discussion Points (bullet format) 2. Decisions Made 3. Action Items (with owner and deadline) 4. Open Issues/Parking Lot Items 5. Next Steps",Bullet points,Beginner,"Include speaker attributions for accountability. Flag any unclear decisions for follow-up.",Project Management Office,"meeting notes;productivity;action items;documentation","ChatGPT;Microsoft Copilot;Google Gemini",1.3.0,1893,4.9,201,Approved
P006,Status Report Generator,Internal Productivity,"Generate a weekly project status report. Format the report with: RAG Status with justification, Progress percentage, Key milestones achieved, Budget status, Stakeholder communications needed.",Structured narrative with bullet points,Beginner,"Be honest about RAG status. Include quantifiable metrics where possible.",Project Management Office,"status report;project management;reporting;weekly update","ChatGPT;Microsoft Copilot",1.0.0,1432,4.4,167,Approved
P007,Competitive Intelligence Analyzer,Research & Analysis,"Analyze the competitive landscape for [COMPANY/PRODUCT] in the [INDUSTRY] sector: 1. Direct Competitors 2. SWOT Analysis 3. Competitive Positioning 4. Strategic Recommendations. Focus on actionable insights rather than generic observations.",Table,Intermediate,"Cross-reference with recent earnings calls and press releases. Note data freshness limitations.",Strategy Practice,"competitive analysis;SWOT;market research;strategy","ChatGPT;Google Gemini;Claude",1.0.0,567,4.6,65,Approved
P008,Regulatory Impact Assessment,Research & Analysis,"Assess the impact of [REGULATION/POLICY] on [INDUSTRY/COMPANY]: 1. Regulatory Overview 2. Compliance Requirements 3. Business Impact Assessment 4. Risk Analysis 5. Recommended Action Plan",Structured narrative with bullet points,Expert,"Always verify regulatory details with legal counsel. Include jurisdiction-specific considerations.",Risk & Compliance Practice,"regulatory;compliance;risk assessment;policy analysis","ChatGPT;Claude",1.0.0,234,4.3,28,Approved
P009,Financial Summary Narrator,Data & Finance,"Transform the following financial data into an executive narrative. Generate a narrative that: 1. Highlights key performance trends 2. Explains significant variances (>5% YoY) 3. Identifies areas of concern 4. Provides forward-looking insights 5. Recommends focus areas for next quarter. Use CFO-appropriate language.",Narrative,Intermediate,"Verify all calculations independently. Never rely solely on AI for financial reporting.",Finance Transformation Practice,"financial analysis;CFO reporting;variance analysis;performance","ChatGPT;Microsoft Copilot",1.1.0,445,4.5,52,Approved
P010,KPI Dashboard Interpreter,Data & Finance,"Interpret the following KPI dashboard data and provide actionable insights. For each KPI provide: Status, Root cause analysis, Recommended corrective actions, Dependencies and risks. Conclude with: Top 3 priorities, Quick wins, Metrics requiring further investigation.",Bullet points,Intermediate,"Combine quantitative insights with qualitative context from stakeholder conversations.",Performance Improvement Team,"KPI;dashboard;performance metrics;analysis","ChatGPT;Google Gemini",1.0.0,389,4.4,41,Approved
P011,Thought Leadership Article Creator,Creative & Marketing,"Write a thought leadership article on [TOPIC] for publication. Article Structure: 1. Compelling hook 2. Industry context 3. Unique insights 4. Case study or example 5. Actionable recommendations 6. Forward-looking conclusion. Tone: Authoritative yet accessible.",Narrative,Intermediate,"Include data points to support claims. Have subject matter experts review before publication.",Marketing & Communications,"thought leadership;content marketing;article;brand","ChatGPT;Claude;Google Gemini",1.0.0,312,4.7,38,Approved
P012,Presentation Narrative Builder,Creative & Marketing,"Create a narrative flow for a presentation. Generate: 1. Opening hook (30 seconds) 2. Agenda overview 3. Section transitions with storytelling elements 4. Key slide talking points (2-3 bullets each) 5. Memorable closing statement 6. Q&A preparation points. Make it conversational, not scripted.",Structured narrative with bullet points,Beginner,"Practice the narrative out loud. Adjust for natural pauses and emphasis.",Learning & Development,"presentation;storytelling;public speaking;communication","ChatGPT;Microsoft Copilot",1.0.0,678,4.6,82,Approved
P013,Code Documentation Generator,Technical,"Generate comprehensive documentation for the following code. Documentation should include: 1. Overview/Purpose 2. Function/Class Reference 3. Usage Examples 4. Dependencies 5. Notes. Format in Markdown with proper code blocks.",Markdown,Beginner,"Review generated docs for accuracy. Include edge cases the AI might miss.",Technology Practice,"documentation;code;developer;technical writing","ChatGPT;Claude;Google Gemini",1.0.0,523,4.5,64,Approved
P014,API Specification Writer,Technical,"Create an OpenAPI/Swagger specification for the following API. Generate a complete OpenAPI 3.0 specification including: Info section, Server configuration, Security schemes, Path definitions, Component schemas for reusable objects.",JSON,Expert,"Validate generated spec with OpenAPI tools. Include realistic example values.",Technology Practice,"API;OpenAPI;Swagger;specification;REST","ChatGPT;Claude",1.0.0,267,4.4,31,Approved
P015,Test Case Generator,Technical,"Generate comprehensive test cases covering: 1. Positive Test Cases 2. Negative Test Cases 3. Edge Cases 4. Integration Scenarios. Format each test case with: Test ID, Description, Preconditions, Steps, Expected Result, Priority.",Table,Intermediate,"Combine AI-generated cases with domain expertise. Prioritize based on risk.",Quality Assurance Team,"testing;QA;test cases;quality assurance","ChatGPT;Claude;Google Gemini",1.0.0,356,4.6,42,Approved
P016,Architecture Decision Record,Technical,"Create an Architecture Decision Record (ADR). Structure: 1. Title 2. Status 3. Context 4. Decision 5. Options Considered 6. Consequences 7. References.",Markdown,Expert,"Include stakeholder names who approved. Link to relevant design documents.",Enterprise Architecture,"architecture;ADR;decision record;technical design","ChatGPT;Claude",1.0.0,189,4.7,23,Approved
